irfscavihi,1,11,1,2
oagmuqqt,3,0,3,7
vapvvgz,8,11,8,5
iokargp,4,2,4,8
iqsidrh,0,11,0,5
rxdcqq,4,0,9,0
rvpovc,5,7,5,2
jwnwyw,7,6,2,11
qheax,10,2,6,6
ixeyc,10,1,6,1
srbi,11,3,11,0
fss,11,8,9,10
gzf,11,5,9,5
cqp,8,3,6,5
fxo,11,9,11,11
xbi,2,2,2,0
vlj,6,2,8,2
dgx,5,9,7,7
ro,10,6,9,7
tc,3,8,2,7
oz,10,4,9,4
co,6,11,7,11
nx,9,9,9,8
fm,5,10,5,11
tx,4,1,5,1
yb,10,7,9,6
al,10,3,11,4
pt,7,3,6,3
ub,10,8,11,7
zg,0,0,1,0
iw,7,8,7,9
jc,2,3,2,4
tk,6,9,6,10
l,0,1,0,1
v,0,2,0,2
f,2,6,2,6
e,9,2,9,2
d,0,4,0,4
d,2,5,2,5
z,10,0,10,0
t,6,4,6,4
n,3,9,3,9
n,7,10,7,10
f,10,10,10,10
z,1,1,1,1
i,9,11,9,11
e,11,6,11,6
w,2,8,2,8
j,4,11,4,11
d,2,10,2,10
a,0,3,0,3
p,2,9,2,9
a,4,10,4,10
i,10,11,10,11
l,3,11,3,11
