x,6,3,6,3
jszj,11,4,8,1
dhaefzyflkn,4,3,14,13
ph,10,6,9,6
yocfsw,1,14,6,14
bfq,0,0,2,2
s,12,1,12,1
o,10,1,10,1
b,5,1,5,1
jewbbmu,5,0,11,6
u,14,14,14,14
xhhst,4,6,0,2
e,11,11,11,11
dwgfg,0,3,4,7
kcionr,5,7,5,12
qytvt,4,8,4,12
nt,10,7,11,8
mv,3,4,4,4
ef,14,1,14,0
u,4,5,4,5
ssprntn,2,6,2,12
jo,7,4,8,5
m,1,6,1,6
o,8,12,8,12
oaljdb,1,8,1,13
ji,2,13,3,12
e,4,0,4,0
a,11,7,11,7
e,2,0,2,0
nlp,9,12,9,14
fc,3,2,3,3
rf,3,9,3,8
c,9,1,9,1
n,7,9,7,9
hece,3,13,6,13
kot,2,1,4,1
xwl,10,14,10,12
u,3,0,3,0
mby,0,13,0,11
n,1,7,1,7
onm,0,5,0,7
b,0,14,0,14
a,5,2,5,2
p,12,12,12,12
f,2,3,2,3
cf,6,6,5,5
a,1,5,1,5
r,9,9,9,9
sa,13,13,12,14
ooswupds,11,9,4,2
e,0,10,0,10
eswlaq,11,5,6,0
mj,8,10,9,11
a,1,2,1,2
fbjpocnwkujq,13,11,13,0
dunmqj,14,7,14,2
t,14,8,14,8
h,8,11,8,11
bdpnav,12,0,7,0
p,10,2,10,2
asth,9,5,6,2
x,0,1,0,1
e,0,4,0,4
xy,11,13,11,14
bflsxisay,5,6,13,14
vo,8,14,8,13
tbl,11,3,11,1
p,3,7,3,7
vzhwo,6,12,6,8
jqwxv,7,10,7,14
q,10,10,10,10
r,1,0,1,0
o,0,9,0,9
lnwfabots,12,10,12,2
t,0,8,0,8
sc,3,11,3,10
su,7,7,8,8
pmro,14,12,14,9
