l,11,0,11,0
wx,14,4,15,4
nviaze,3,5,8,0
m,6,17,6,17
j,12,9,12,9
n,12,0,12,0
han,1,18,3,16
x,5,1,5,1
d,14,1,14,1
e,17,10,17,10
wbd,8,2,10,0
qfp,15,15,17,17
cjjiq,5,5,9,9
ph,14,7,15,7
y,3,18,3,18
wrjeibwz,3,6,3,13
ahuk,13,5,13,8
epi,1,13,1,11
rvzp,7,9,4,12
bmws,16,15,19,18
dtarkjltb,5,8,13,16
js,19,10,19,11
g,16,6,16,6
xu,2,6,1,7
v,18,16,18,16
w,12,3,12,3
zv,1,16,0,17
h,12,7,12,7
ovlrumaha,8,17,16,17
owb,2,7,0,5
b,13,3,13,3
dnxymszqwyq,14,8,4,18
k,17,11,17,11
pn,12,19,11,19
v,9,3,9,3
b,13,2,13,2
tuqpqhrd,5,4,12,11
r,0,6,0,6
v,2,0,2,0
tzniedhp,3,19,10,19
vljzcfx,13,12,19,12
csfsjsswkd,19,9,19,0
lq,17,15,18,15
d,11,1,11,1
gydnk,16,1,16,5
gd,17,0,18,0
omcc,12,5,15,2
df,2,4,2,5
mgfkimbfxehkzt,13,14,0,1
a,9,2,9,2
pnevqcuzzqw,18,1,18,11
j,12,4,12,4
wf,16,19,17,19
itzaq,2,10,2,14
keaxm,16,7,16,11
u,14,9,14,9
da,10,1,9,0
il,4,0,3,0
mfk,7,14,9,16
xu,14,6,15,5
jcmk,13,1,10,4
bv,3,3,4,2
k,13,10,13,10
xi,5,16,6,15
o,5,14,5,14
n,2,8,2,8
ul,4,7,4,6
nmni,17,6,17,3
e,14,11,14,11
d,7,16,7,16
tt,1,8,2,9
swxx,0,10,0,7
imt,2,2,0,0
bu,15,6,14,5
ivus,10,6,7,3
byk,0,19,2,19
ygymj,11,8,11,4
zfvgbwm,4,1,10,7
ykiuwmgqzjqefk,18,18,5,18
e,14,2,14,2
aiykemzp,4,9,11,16
hoe,17,9,17,7
j,9,7,9,7
ge,17,2,17,1
c,14,15,14,15
ykodyosfm,8,10,0,18
cgi,0,15,2,15
w,10,8,10,8
wf,5,12,6,13
g,4,11,4,11
h,1,10,1,10
i,6,8,6,8
i,4,13,4,13
ju,8,1,7,0
qx,14,16,15,16
ft,16,0,15,0
yl,4,15,3,14
j,4,3,4,3
hx,0,4,0,3
h,0,11,0,11
ck,4,8,5,9
a,2,18,2,18
d,1,9,1,9
j,1,0,1,0
p,4,10,4,10
ojb,8,6,6,4
o,0,2,0,2
f,15,3,15,3
qw,14,0,15,1
cyf,0,12,0,14
urxhrvga,14,10,7,17
w,6,0,6,0
e,11,2,11,2
zenl,15,8,15,11
mmn,19,17,19,15
k,12,6,12,6
mpb,13,19,15,19
zmk,1,3,1,5
aafozeropt,12,8,3,17
c,12,14,12,14
e,3,2,3,2
px,12,1,13,0
b,4,17,4,17
z,5,7,5,7
pf,12,16,13,15
id,10,2,10,3
v,1,14,1,14
x,0,16,0,16
xwfvlcd,19,13,13,13
ueaxnw,10,5,5,0
hk,2,1,3,1
udbajk,19,14,14,14
jx,18,19,19,19
nh,11,15,10,16
