Kaj je operacijski sistem?| Programska oprema za nadzorovanje izvajanja programov in povezovanje uporabnika s strojno opremo.
Kako na operacijski sistem gleda uporabnik?| Uporabniški pogled na operacijski sistem vključuje vmesnik, ki olajša uporabo računalnika.
Kako na operacijski sistem gleda računalničar?| Sistemski pogled na operacijski sistem vključuje upravljanje virov, nadzor delovanja sistema in ponujanje sistemskih storitev.
Kaj sodi pod operacijski sistem?| Jedro, gonilniki naprav, lupina in sistemska orodja.
Katere storitve nudi operacijski sistem?| Upravljanje z uporabniki, procesi, pomnilnikom, datotečnimi sistemi, V/I napravami, medprocesno komunikacijo, računalniško komunikacijo, zaščito procesov in varnost podatkov ter statistika in računovodstvo.
Kakšni so cilji operacijskih sistemov?| Cilji vključujejo prikladnost uporabe, varnost, zanesljivost delovanja, učinkovitost delovanja in prilagodljivost sistema.
Zakaj študirati operacijske sisteme?| Za uporabnike, aplikacijske programerje, sistemsko programerje, računalničarje in teoretične računalničarje je razumevanje operacijskih sistemov pomembno za različna področja.
Kaj so splošni koncepti, ki se pojavljajo pri študiji operacijskih sistemov?| Abstrakcija, virtualizacija, varnost, sočasnost in persistenca so ključni koncepti pri študiji operacijskih sistemov.
Kaj je jedro operacijskega sistema?| Jedro je programska koda, ki vsebuje bistvene storitve operacijskega sistema in omogoča nadzor nad strojno opremo.
Kako poteka komunikacija med jedrom in strojno opremo?| Naprave in kontrolniki naprav skozi vmesnik jedra komunicirajo z jedrom operacijskega sistema.
Kaj je arhitektura jedra operacijskega sistema?| Arhitektura jedra se nanaša na strukturo in način povezovanja med različnimi deli jedra ter vključuje različne vrste arhitektur, kot so monolitno, mikro, hibridno itd.
Kako se razlikuje monolitno jedro od mikro jedra?| Monolitno jedro vsebuje celoten operacijski sistem, medtem ko mikro jedro vsebuje le osnovne funkcionalnosti, ostale funkcije pa se izvajajo zunaj jedra.
Kaj je hibridno jedro?| Hibridno jedro je kombinacija mikrojedra in monolitnega jedra, ki omogoča ločene servise in funkcionalnosti.

Kaj je sistemski klic?| Sistemski klic je mehanizem, preko katerega uporabniški program zahteva jedrno storitev.
Kako se izvede sistemski klic?| Sistemski klic se izvede preko klica podprograma v jedru, ki implementira zahtevano storitev.
Kaj je namen ovojnih funkcij?| Ovojne funkcije omogočajo enostavno uporabo sistemskih klicev s strani uporabniških programov, saj pripravijo argumente in upravljajo z vstopom v jedro.
Zakaj se uporabljajo ovojne funkcije?| Ovojne funkcije olajšajo uporabo sistemskih klicev, zagotavljajo boljše upravljanje argumentov ter omogočajo večjo prenosljivost programov med različnimi operacijskimi sistemi.
Kako je omogočena varnost pri sistemskih klicih?| Sistemski klici služijo tudi kot mehanizem za nadzor in avtorizacijo operacij, ki jih izvajajo procesi, kar pripomore k zagotavljanju varnosti sistema.
Kaj je API?| API (Application Programming Interface) je vmesnik, preko katerega uporabniki komunicirajo s programskimi knjižnicami ali operacijskim sistemom.
